side,page,route,api,archetype,phase
Client,API Overview,/app/developers,GET /api/v1/developer/overview,DASHBOARD,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,API Keys,/app/developers/api-keys,GET /api/v1/api-keys,DETAIL,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,API Keys,/app/developers/api-keys,POST /api/v1/api-keys,DETAIL,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,API Request Logs,/app/developers/logs,GET /api/v1/developer/request-logs,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Webhook Endpoints,/app/developers/webhooks,GET /api/v1/webhooks,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Webhook Endpoints,/app/developers/webhooks,POST /api/v1/webhooks,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Webhook Delivery Log,/app/developers/webhook-deliveries,GET /api/v1/webhook-deliveries,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Team Members,/app/team,GET /api/v1/team,DETAIL,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,Team Members,/app/team,POST /api/v1/team/invitations,DETAIL,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,Client Roles,/app/team/roles,GET /api/v1/team/roles,DETAIL,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,Support Tickets,/app/support,GET /api/v1/support/tickets,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,New Support Ticket,/app/support/new,POST /api/v1/support/tickets,EDITOR_FORM,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Ticket Detail,/app/support/{ticketId},GET /api/v1/support/tickets/{id},DETAIL,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Ticket Detail,/app/support/{ticketId},POST /api/v1/support/tickets/{id}/messages,DETAIL,"P11 — Customer API, Webhooks, Reports & Large Exports"
